id,fg3m,fg3a,fg2m,fg2a,3pt_percent,2pt_percent,first_name,last_name,height_inches,weight_pounds,position
275,7,14,14,15,50.0,93.3,Meyers,Leonard,85,255,3.0
277,188,433,218,490,43.4,44.5,Caris,LeVert,79,204,1.0
278,184,430,173,323,42.8,53.6,Damian,Lillard,75,195,1.0
282,0,1,256,422,0.0,60.7,Kevon,Looney,81,220,3.0
283,185,442,392,628,41.9,62.4,Brook,Lopez,84,270,5.0
284,3,5,71,100,60.0,71.0,Robin,Lopez,84,275,5.0
285,135,433,120,235,31.2,51.1,Kevin,Love,82,251,3.0
286,118,366,133,236,32.2,56.4,Kyle,Lowry,73,196,1.0
290,84,250,92,148,33.6,62.2,Trey,Lyles,82,234,3.0
296,0,2,27,48,0.0,56.2,Boban,Marjanovic,87,290,5.0
297,197,541,417,696,36.4,59.9,Lauri,Markkanen,84,240,3.0
303,188,498,367,752,37.8,48.8,CJ,McCollum,75,190,1.0
304,26,62,288,489,41.9,58.9,T.J.,McConnell,74,190,1.0
305,136,290,115,223,46.9,51.6,Doug,McDermott,80,225,3.0
306,0,1,102,156,0.0,65.4,JaVale,McGee,84,270,5.0
307,55,118,22,72,46.6,30.6,Rodney,McGruder,76,200,3.0
313,181,465,108,271,38.9,39.9,De'Anthony,Melton,76,200,1.0
314,11,37,129,186,29.7,69.4,Chimezie,Metu,82,225,3.0
315,43,150,137,254,28.7,53.9,Khris,Middleton,80,222,3.0
319,58,139,41,95,41.7,43.2,Patty,Mills,72,180,1.0
320,50,131,165,308,38.2,53.6,Shake,Milton,78,207,1.0
322,242,671,447,792,36.1,56.4,Donovan,Mitchell,75,215,1.0
324,178,497,300,547,35.8,54.8,Malik,Monk,75,200,1.0
328,129,348,189,389,37.1,48.6,Marcus,Morris,81,235,3.0
330,59,177,144,251,33.3,57.4,Monte,Morris,75,175,1.0
334,138,425,511,955,32.5,53.5,Dejounte,Murray,77,170,1.0
335,216,564,418,812,38.3,51.5,Jamal,Murray,76,207,1.0
337,89,201,56,87,44.3,64.4,Mike,Muscala,83,240,3.0
338,42,108,42,95,38.9,44.2,Svi,Mykhailiuk,80,205,1.0
340,13,32,213,324,40.6,65.7,Larry,Nance Jr.,81,230,3.0
343,19,65,56,86,29.2,65.1,Raul,Neto,73,179,1.0
344,141,376,61,104,37.5,58.7,Georges,Niang,80,230,3.0
345,2,4,7,18,50.0,38.9,Nerlens,Noel,83,220,3.0
347,15,66,28,49,22.7,57.1,Frank,Ntilikina,78,200,1.0
349,36,94,181,320,38.3,56.6,Jusuf,Nurkic,84,275,5.0
351,169,429,62,160,39.4,38.8,Royce,O'Neale,78,226,3.0
356,74,222,119,251,33.3,47.4,Josh,Okogie,76,212,1.0
357,78,220,95,199,35.5,47.7,Victor,Oladipo,76,210,1.0
358,108,234,176,337,46.2,52.2,Kelly,Olynyk,84,240,3.0
359,142,354,133,230,40.1,57.8,Cedi,Osman,80,215,3.0
360,122,356,255,479,34.3,53.2,Kelly,Oubre Jr.,79,205,3.0
367,119,296,220,471,40.2,46.7,Chris,Paul,72,175,1.0
370,9,44,9,15,20.5,60.0,Theo,Pinson,78,218,1.0
375,281,649,269,512,43.3,52.5,Michael,Porter Jr.,82,210,3.0
376,8,16,4,7,50.0,57.1,Otto,Porter Jr.,80,198,3.0
377,92,273,306,553,33.7,55.3,Bobby,Portis,83,250,3.0
378,169,376,400,701,44.9,57.1,Kristaps,Porzingis,87,240,3.0
379,0,3,216,287,0.0,75.3,Dwight,Powell,83,240,3.0
380,112,329,257,477,34.0,53.9,Norman,Powell,76,215,3.0
383,98,240,85,170,40.8,50.0,Taurean,Prince,80,220,3.0
387,250,744,484,909,33.6,53.2,Julius,Randle,81,250,3.0
390,11,38,10,26,28.9,38.5,Davon,Reed,77,208,1.0
391,106,290,138,257,36.6,53.7,Josh,Richardson,78,200,1.0
393,49,130,47,78,37.7,60.3,Austin,Rivers,76,200,1.0
397,80,209,48,83,38.3,57.8,Duncan,Robinson,80,210,3.0
401,27,81,48,123,33.3,39.0,Derrick,Rose,75,200,1.0
402,99,284,108,213,34.9,50.7,Terrence,Ross,79,206,1.0
403,146,468,328,662,31.2,49.5,Terry,Rozier,73,190,1.0
404,28,111,39,113,25.2,34.5,Ricky,Rubio,76,190,1.0
405,254,659,351,637,38.5,55.1,D'Angelo,Russell,77,198,1.0
406,31,102,590,967,30.4,61.0,Domantas,Sabonis,83,240,3.0
407,54,142,86,179,38.0,48.0,Dario,Saric,82,223,3.0
409,94,277,242,523,33.9,46.3,Dennis,Schroder,73,172,1.0
413,37,90,152,281,41.1,54.1,Collin,Sexton,74,190,1.0
414,67,188,39,127,35.6,30.7,Landry,Shamet,77,188,1.0
416,96,306,565,1059,31.4,53.4,Pascal,Siakam,81,230,3.0
419,116,347,136,276,33.4,49.3,Anfernee,Simons,76,185,1.0
420,165,478,194,372,34.5,52.2,Marcus,Smart,76,220,1.0
421,24,111,159,329,21.6,48.3,Dennis,Smith Jr.,75,195,1.0
422,1,7,31,87,14.3,35.6,Ish,Smith,72,175,1.0
432,33,106,98,191,31.1,51.3,Edmond,Sumner,78,176,1.0
434,225,717,545,941,31.4,57.9,Jayson,Tatum,80,208,3.0
436,16,35,8,24,45.7,33.3,Garrett,Temple,78,195,1.0
439,1,8,10,20,12.5,50.0,Daniel,Theis,80,243,3.0
443,350,853,249,572,41.0,43.5,Klay,Thompson,79,215,1.0
447,92,264,235,421,34.8,55.8,Karl-Anthony,Towns,84,248,5.0
450,61,163,50,94,37.4,53.2,PJ,Tucker,78,245,3.0
452,83,217,263,415,38.2,63.4,Myles,Turner,83,250,5.0
455,49,111,355,626,44.1,56.7,Jonas,Valanciunas,84,265,5.0
457,20,103,283,460,19.4,61.5,Jarred,Vanderbilt,81,214,3.0
458,201,622,228,505,32.3,45.1,Fred,VanVleet,72,195,1.0
459,1,5,13,29,20.0,44.8,Noah,Vonleh,81,250,3.0
460,143,349,493,826,41.0,59.7,Nikola,Vucevic,84,260,5.0
462,59,189,159,260,31.2,61.2,Moritz,Wagner,83,245,5.0
464,84,234,141,275,35.9,51.3,Lonnie,Walker IV,77,205,1.0
465,8,39,22,38,20.5,57.9,Kemba,Walker,73,184,1.0
467,23,88,76,175,26.1,43.4,John,Wall,76,210,1.0
469,25,86,123,239,29.1,51.5,T.J.,Warren,80,215,3.0
470,75,138,47,86,54.3,54.7,Yuta,Watanabe,81,205,1.0
472,127,343,396,793,37.0,49.9,Russell,Westbrook,75,200,1.0
473,199,486,266,464,40.9,57.3,Derrick,White,76,190,1.0
475,113,288,215,392,39.2,54.8,Andrew,Wiggins,80,194,3.0
476,0,3,210,265,0.0,79.2,Robert,Williams III,82,240,5.0
480,45,127,138,220,35.4,62.7,Kenrich,Williams,79,210,1.0
485,14,51,81,170,27.5,47.6,Justise,Winslow,79,225,3.0
486,138,346,339,598,39.9,56.7,Christian,Wood,82,214,3.0
487,55,161,121,206,34.2,58.7,Delon,Wright,77,183,1.0
489,7,41,115,178,17.1,64.6,Thaddeus,Young,80,221,3.0
490,164,494,513,1047,33.2,49.0,Trae,Young,74,180,1.0
491,0,3,50,76,0.0,65.8,Cody,Zeller,84,240,5.0
493,0,4,408,641,0.0,63.7,Ivica,Zubac,85,240,5.0
2175,28,106,53,80,26.4,66.2,Danuel,House Jr.,79,220,
3089,154,417,212,439,36.9,48.3,Gary,Trent Jr.,78,205,
3092,47,118,63,110,39.8,57.3,Haywood,Highsmith,79,220,
